ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
ILMN_28113	1.15e-39	4.11e-42	780.04001	FAM45A	family with sequence similarity 45 member A
ILMN_1133	1.46e-39	5.43e-42	772.19447	MCM7	minichromosome maintenance complex component 7
ILMN_4509	1.89e-39	7.28e-42	764.0006	BOLA2	bolA family member 2
ILMN_1665	2.05e-39	8.14e-42	760.88414	KCTD17	potassium channel tetramerization domain containing 17
ILMN_20404	2.38e-39	9.77e-42	755.84182	FIG4	FIG4 phosphoinositide 5-phosphatase
ILMN_6469	3.16e-39	1.34e-41	747.26982	IL6	interleukin 6
ILMN_26408	3.82e-39	1.66e-41	741.33568	SMIM7	small integral membrane protein 7
ILMN_6725	4.76e-39	2.14e-41	734.58639	RWDD4	RWD domain containing 4
ILMN_25446	6.39e-39	2.95e-41	726.01472	SLC7A5	solute carrier family 7 member 5
ILMN_3059	1.56e-38	7.41e-41	701.98187	SMUG1	single-strand-selective monofunctional uracil-DNA glycosylase 1
ILMN_2486	1.57e-38	7.67e-41	701.12033	IRAK2	interleukin 1 receptor associated kinase 2
ILMN_16775	1.62e-38	8.08e-41	699.767	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2
ILMN_26535	1.74e-38	9.12e-41	696.67916	CYB561D2	cytochrome b561 family member D2
ILMN_11722	1.74e-38	9.12e-41	696.67665	COA5	cytochrome c oxidase assembly factor 5
ILMN_4040	1.87e-38	1.01e-40	694.11328	FAM173A	family with sequence similarity 173 member A
ILMN_12632	2.15e-38	1.19e-40	690.02903	ZDHHC7	zinc finger DHHC-type containing 7
ILMN_23284	2.31e-38	1.30e-40	687.69698	SLC35A1	solute carrier family 35 member A1
ILMN_15497	2.95e-38	1.70e-40	681.00194	SUMF1	sulfatase modifying factor 1
ILMN_22473	3.27e-38	1.93e-40	677.91019	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1
ILMN_5466	3.49e-38	2.14e-40	675.31009	NSL1	NSL1, MIS12 kinetochore complex component
ILMN_14576	3.49e-38	2.15e-40	675.23425	YTHDC1	YTH domain containing 1
ILMN_21421	3.81e-38	2.39e-40	672.54964	TBC1D14	TBC1 domain family member 14
ILMN_24216	4.26e-38	2.75e-40	669.12092	TLR1	toll like receptor 1
ILMN_3741	4.26e-38	2.79e-40	668.73105	CWC27	CWC27 spliceosome associated protein homolog
ILMN_25186	4.26e-38	2.87e-40	668.09864	RNASEL	ribonuclease L
ILMN_12644	4.26e-38	2.89e-40	667.88623	ATP5SL	ATP5S like
ILMN_19492	4.33e-38	3.00e-40	667.0151	GRSF1	G-rich RNA sequence binding factor 1
ILMN_19785	4.48e-38	3.21e-40	665.33073	DSCR3	DSCR3 arrestin fold containing
ILMN_5830	4.48e-38	3.26e-40	664.9827	TRAF1	TNF receptor associated factor 1
ILMN_25326	4.48e-38	3.27e-40	664.87457	SUOX	sulfite oxidase
ILMN_4999	5.06e-38	3.76e-40	661.49182	GPR162	G protein-coupled receptor 162
ILMN_23948	5.14e-38	3.89e-40	660.70377	ZRANB2	zinc finger RANBP2-type containing 2
ILMN_20339	5.55e-38	4.27e-40	658.44841	FRAT2	frequently rearranged in advanced T-cell lymphomas 2
ILMN_14284	6.09e-38	4.76e-40	655.79269	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex subunit E
ILMN_137681	6.77e-38	5.38e-40	652.86709	HHEX	hematopoietically expressed homeobox
ILMN_15872	7.05e-38	5.69e-40	651.51679	GMPR2	guanosine monophosphate reductase 2
ILMN_21473	8.99e-38	7.37e-40	645.37366	KIAA0513	KIAA0513
ILMN_24560	9.07e-38	7.56e-40	644.77066	NCEH1	neutral cholesterol ester hydrolase 1
ILMN_19350	9.07e-38	7.72e-40	644.30445	DNAAF1	dynein axonemal assembly factor 1
ILMN_1404	9.07e-38	7.79e-40	644.0779	SMAP1	small ArfGAP 1
ILMN_6477	1.00e-37	8.74e-40	641.36176	CYFIP1	cytoplasmic FMR1 interacting protein 1
ILMN_26478	1.11e-37	9.85e-40	638.55252	CORO1B	coronin 1B
ILMN_16536	1.19e-37	1.07e-39	636.62011	CYTH4	cytohesin 4
ILMN_28967	1.65e-37	1.50e-39	628.80637	HSPB1	heat shock protein family B (small) member 1
ILMN_8059	1.70e-37	1.57e-39	627.74969	SPHK2	sphingosine kinase 2
ILMN_20423	2.45e-37	2.29e-39	619.08396	NIF3L1	NGG1 interacting factor 3 like 1
ILMN_28804	2.59e-37	2.45e-39	617.52431	RPUSD3	RNA pseudouridylate synthase domain containing 3
ILMN_23791	2.61e-37	2.51e-39	617.01172	ABHD8	abhydrolase domain containing 8
ILMN_7818	3.13e-37	3.05e-39	612.58652	DARS2	aspartyl-tRNA synthetase 2, mitochondrial
ILMN_7745	3.31e-37	3.27e-39	611.06309	ZNF362	zinc finger protein 362
ILMN_17093	3.44e-37	3.44e-39	609.90463	FLAD1	flavin adenine dinucleotide synthetase 1
ILMN_6869	3.77e-37	3.81e-39	607.59739	GIMAP8	GTPase, IMAP family member 8
ILMN_1046	4.04e-37	4.14e-39	605.7472	TIMP2	TIMP metallopeptidase inhibitor 2
ILMN_742	4.41e-37	4.57e-39	603.54683	CECR5	cat eye syndrome chromosome region, candidate 5
ILMN_10033	4.76e-37	5.01e-39	601.54283	COMMD9	COMM domain containing 9
ILMN_137185	5.24e-37	5.57e-39	599.17668	ARL5A	ADP ribosylation factor like GTPase 5A
ILMN_16597	5.46e-37	5.88e-39	598.01577	ALKBH3	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase
ILMN_13270	8.03e-37	8.75e-39	589.30977	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide
ILMN_19154	1.12e-36	1.24e-38	581.87269	FPR3	formyl peptide receptor 3
ILMN_16705	1.13e-36	1.26e-38	581.4752	CD83	CD83 molecule
ILMN_25320	1.40e-36	1.58e-38	576.60221	IL1A	interleukin 1 alpha
ILMN_2226	1.61e-36	1.84e-38	573.4184	C15orf48	chromosome 15 open reading frame 48
ILMN_2292	1.65e-36	1.90e-38	572.73581	JKAMP	JNK1/MAPK8-associated membrane protein
ILMN_29588	1.69e-36	1.98e-38	571.90598	FAM192A	family with sequence similarity 192 member A
ILMN_3895	1.79e-36	2.11e-38	570.55427	PAK1	p21 (RAC1) activated kinase 1
ILMN_7672	1.82e-36	2.17e-38	569.96372	ZNF25	zinc finger protein 25
ILMN_24980	1.89e-36	2.28e-38	568.88184	CSF1R	colony stimulating factor 1 receptor
ILMN_20559	2.17e-36	2.64e-38	565.79817	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
ILMN_15857	2.22e-36	2.73e-38	565.09327	ABI3	ABI family member 3
ILMN_15022	2.52e-36	3.13e-38	562.27923	COLGALT1	collagen beta(1-O)galactosyltransferase 1
ILMN_2247	2.60e-36	3.26e-38	561.40592	CXCL8	C-X-C motif chemokine ligand 8
ILMN_2569	2.97e-36	3.76e-38	558.46809	TCHP	trichoplein keratin filament binding
ILMN_4830	3.07e-36	3.94e-38	557.52479	RPS6KA4	ribosomal protein S6 kinase A4
ILMN_17381	3.27e-36	4.25e-38	555.97747	OLR1	oxidized low density lipoprotein receptor 1
ILMN_138444	3.27e-36	4.27e-38	555.85735	NPTN	neuroplastin
ILMN_24761	3.29e-36	4.35e-38	555.4951	OARD1	O-acyl-ADP-ribose deacylase 1
ILMN_17925	3.35e-36	4.46e-38	554.97774	YPEL3	yippee like 3
ILMN_2918	3.52e-36	4.74e-38	553.74232	TTC31	tetratricopeptide repeat domain 31
ILMN_25376	3.57e-36	4.85e-38	553.25728	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A
ILMN_11769	4.13e-36	5.70e-38	549.98462	CTNS	cystinosin, lysosomal cystine transporter
ILMN_5948	4.13e-36	5.71e-38	549.93034	TSEN34	tRNA splicing endonuclease subunit 34
ILMN_4668	4.36e-36	6.09e-38	548.64276	GNAI2	G protein subunit alpha i2
ILMN_16833	5.96e-36	8.41e-38	542.12047	DERA	deoxyribose-phosphate aldolase
ILMN_2798	5.96e-36	8.49e-38	541.94807	ZBTB14	zinc finger and BTB domain containing 14
ILMN_25951	6.03e-36	8.66e-38	541.53622	PPCS	phosphopantothenoylcysteine synthetase
ILMN_16097	6.71e-36	9.71e-38	539.24461	INTS4	integrator complex subunit 4
ILMN_10115	7.02e-36	1.03e-37	538.16037	INTS9	integrator complex subunit 9
ILMN_137136	7.47e-36	1.10e-37	536.7574	EEF1B2	eukaryotic translation elongation factor 1 beta 2
ILMN_137779	7.57e-36	1.13e-37	536.32392	DOK2	docking protein 2
ILMN_5062	7.97e-36	1.19e-37	535.1363	APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2
ILMN_6709	8.95e-36	1.35e-37	532.66065	RHOT1	ras homolog family member T1
ILMN_22332	1.02e-35	1.56e-37	529.87773	MTFR1L	mitochondrial fission regulator 1 like
ILMN_28173	1.10e-35	1.69e-37	528.32491	GNPTG	N-acetylglucosamine-1-phosphate transferase gamma subunit
ILMN_12958	1.19e-35	1.84e-37	526.6174	CHAMP1	chromosome alignment maintaining phosphoprotein 1
ILMN_8447	1.31e-35	2.05e-37	524.56875	NDRG3	NDRG family member 3
ILMN_28601	1.54e-35	2.43e-37	521.2873	SLC9A6	solute carrier family 9 member A6
ILMN_8810	1.59e-35	2.52e-37	520.53469	EPS15	epidermal growth factor receptor pathway substrate 15
ILMN_28720	2.22e-35	3.56e-37	513.92099	SRBD1	S1 RNA binding domain 1
ILMN_9628	2.39e-35	3.86e-37	512.42358	ZNF613	zinc finger protein 613
ILMN_6600	2.53e-35	4.11e-37	511.19862	XXYLT1	xyloside xylosyltransferase 1
ILMN_14166	2.62e-35	4.30e-37	510.35751	ATG4A	autophagy related 4A cysteine peptidase
ILMN_27899	2.66e-35	4.40e-37	509.93651	DNASE2	deoxyribonuclease 2, lysosomal
ILMN_5102	2.93e-35	4.88e-37	507.97644	RANGRF	RAN guanine nucleotide release factor
ILMN_27340	3.03e-35	5.08e-37	507.20613	FES	FES proto-oncogene, tyrosine kinase
ILMN_24838	3.06e-35	5.18e-37	506.82421	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13
ILMN_20489	3.13e-35	5.33e-37	506.29863	GPD1L	glycerol-3-phosphate dehydrogenase 1-like
ILMN_23668	3.45e-35	5.92e-37	504.34731	POLR3GL	RNA polymerase III subunit G like
ILMN_26473	3.83e-35	6.63e-37	502.22701	ADAP2	ArfGAP with dual PH domains 2
ILMN_29986	4.06e-35	7.08e-37	500.99672	PTGS2	prostaglandin-endoperoxide synthase 2
ILMN_7719	4.20e-35	7.37e-37	500.2638	MTIF2	mitochondrial translational initiation factor 2
ILMN_18933	4.39e-35	7.77e-37	499.26954	MICU1	mitochondrial calcium uptake 1
ILMN_2244	4.50e-35	8.01e-37	498.71491	SEPHS2	selenophosphate synthetase 2
ILMN_24931	4.62e-35	8.29e-37	498.0664	FUK	fucokinase
ILMN_29559	4.62e-35	8.34e-37	497.96301	PPP1R7	protein phosphatase 1 regulatory subunit 7
ILMN_16665	4.83e-35	8.79e-37	496.98823	DBNDD2	dysbindin domain containing 2
ILMN_27694	4.83e-35	8.86e-37	496.85073	APEH	acylaminoacyl-peptide hydrolase
ILMN_5146	4.93e-35	9.09e-37	496.36672	ANAPC5	anaphase promoting complex subunit 5
ILMN_1647	5.46e-35	1.02e-36	494.34117	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2
ILMN_5745	5.55e-35	1.04e-36	493.93525	MIS18BP1	MIS18 binding protein 1
ILMN_28661	6.59e-35	1.24e-36	490.65227	C1orf123	chromosome 1 open reading frame 123
ILMN_24234	7.01e-35	1.33e-36	489.42213	CCDC43	coiled-coil domain containing 43
ILMN_20105	7.05e-35	1.35e-36	489.17431	PAQR4	progestin and adipoQ receptor family member 4
ILMN_9897	7.09e-35	1.36e-36	488.96374	TAF5	TATA-box binding protein associated factor 5
ILMN_16655	7.53e-35	1.46e-36	487.7421	MTIF3	mitochondrial translational initiation factor 3
ILMN_27027	8.19e-35	1.60e-36	486.11045	PINK1	PTEN induced putative kinase 1
ILMN_674	8.25e-35	1.62e-36	485.8648		
ILMN_22878	8.31e-35	1.64e-36	485.58535	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component
ILMN_138473	8.31e-35	1.65e-36	485.48227	TRIOBP	TRIO and F-actin binding protein
ILMN_138222	9.09e-35	1.82e-36	483.75787	DMAP1	DNA methyltransferase 1 associated protein 1
ILMN_21862	9.18e-35	1.85e-36	483.47731	ACTR5	ARP5 actin-related protein 5 homolog
ILMN_9137	9.76e-35	1.98e-36	482.25892	SHARPIN	SHANK associated RH domain interactor
ILMN_4989	9.98e-35	2.03e-36	481.74017	BORCS6	BLOC-1 related complex subunit 6
ILMN_11192	1.09e-34	2.25e-36	479.94935		
ILMN_13646	1.09e-34	2.26e-36	479.87225	POLR2G	RNA polymerase II subunit G
ILMN_10434	1.10e-34	2.29e-36	479.63855	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
ILMN_27457	1.10e-34	2.31e-36	479.47928	RANBP3	RAN binding protein 3
ILMN_28170	1.13e-34	2.38e-36	478.92049	RHOB	ras homolog family member B
ILMN_1056	1.14e-34	2.42e-36	478.63918	TMEM39B	transmembrane protein 39B
ILMN_6139	1.14e-34	2.43e-36	478.59284	STK25	serine/threonine kinase 25
ILMN_13720	1.17e-34	2.50e-36	478.03077	AIP	aryl hydrocarbon receptor interacting protein
ILMN_9466	1.21e-34	2.61e-36	477.26361	CDC40	cell division cycle 40
ILMN_30117	1.28e-34	2.77e-36	476.23964	DRAM2	DNA damage regulated autophagy modulator 2
ILMN_19320	1.36e-34	2.96e-36	475.05566	TSHZ3	teashirt zinc finger homeobox 3
ILMN_15381	1.48e-34	3.24e-36	473.47877	RCOR3	REST corepressor 3
ILMN_442	1.48e-34	3.28e-36	473.27699	CCDC28A	coiled-coil domain containing 28A
ILMN_8703	1.48e-34	3.29e-36	473.20915	SH2D3C	SH2 domain containing 3C
ILMN_22610	1.49e-34	3.32e-36	473.02393	TRIM8	tripartite motif containing 8
ILMN_15079	1.54e-34	3.46e-36	472.28964	PPP1R21	protein phosphatase 1 regulatory subunit 21
ILMN_7309	1.55e-34	3.49e-36	472.16116	MSRB1	methionine sulfoxide reductase B1
ILMN_14890	1.56e-34	3.54e-36	471.8975	COPS6	COP9 signalosome subunit 6
ILMN_137754	1.66e-34	3.78e-36	470.73521	NCKAP1L	NCK associated protein 1 like
ILMN_23187	1.93e-34	4.44e-36	467.95705	GEMIN6	gem nuclear organelle associated protein 6
ILMN_24943	2.01e-34	4.63e-36	467.2203	C6orf136	chromosome 6 open reading frame 136
ILMN_12859	2.09e-34	4.86e-36	466.38018	POP5	POP5 homolog, ribonuclease P/MRP subunit
ILMN_26487	2.12e-34	4.95e-36	466.04388	DHRS7B	dehydrogenase/reductase 7B
ILMN_24532	2.12e-34	5.00e-36	465.88983	ITFG2	integrin alpha FG-GAP repeat containing 2
ILMN_19460	2.12e-34	5.01e-36	465.84502	KIAA0556	KIAA0556
ILMN_22266	2.13e-34	5.05e-36	465.71398	SLC39A11	solute carrier family 39 member 11
ILMN_28021	2.21e-34	5.28e-36	464.93795	BTK	Bruton tyrosine kinase
ILMN_5092	2.23e-34	5.34e-36	464.74116	FNTA	farnesyltransferase, CAAX box, alpha
ILMN_22928	2.31e-34	5.56e-36	464.02402	C14orf159	chromosome 14 open reading frame 159
ILMN_4156	2.37e-34	5.75e-36	463.45553	MRPL43	mitochondrial ribosomal protein L43
ILMN_9169	2.42e-34	5.90e-36	463.01804	TBC1D9B	TBC1 domain family member 9B
ILMN_16612	2.50e-34	6.11e-36	462.40149	RFC5	replication factor C subunit 5
ILMN_24358	2.53e-34	6.22e-36	462.11634	RAE1	ribonucleic acid export 1
ILMN_14069	2.59e-34	6.39e-36	461.62532	FUCA1	fucosidase, alpha-L- 1, tissue
ILMN_23626	3.12e-34	7.75e-36	458.33456	GLB1	galactosidase beta 1
ILMN_137937	3.22e-34	8.05e-36	457.68655	INTS10	integrator complex subunit 10
ILMN_24567	3.45e-34	8.67e-36	456.40704	ASB8	ankyrin repeat and SOCS box containing 8
ILMN_2568	3.45e-34	8.70e-36	456.35508	SNX17	sorting nexin 17
ILMN_29344	3.50e-34	8.92e-36	455.92301	VGLL4	vestigial like family member 4
ILMN_19752	3.50e-34	8.93e-36	455.90553	ITGAE	integrin subunit alpha E
ILMN_647	3.51e-34	9.00e-36	455.78756	HEXB	hexosaminidase subunit beta
ILMN_5088	3.79e-34	9.77e-36	454.3886	MTX1	metaxin 1
ILMN_10710	3.93e-34	1.02e-35	453.68161	MED29	mediator complex subunit 29
ILMN_13485	3.96e-34	1.03e-35	453.4857	RUSC1	RUN and SH3 domain containing 1
ILMN_22701	4.13e-34	1.08e-35	452.67207	SPTSSA	serine palmitoyltransferase small subunit A
ILMN_18871	4.13e-34	1.09e-35	452.58991	MRPS26	mitochondrial ribosomal protein S26
ILMN_24518	4.25e-34	1.12e-35	452.01709	HOMEZ	homeobox and leucine zipper encoding
ILMN_15390	4.25e-34	1.13e-35	451.98008	GNPAT	glyceronephosphate O-acyltransferase
ILMN_26788	4.54e-34	1.21e-35	450.77152	TMEM179B	transmembrane protein 179B
ILMN_18881	5.20e-34	1.39e-35	448.42176	NAE1	NEDD8 activating enzyme E1 subunit 1
ILMN_11237	6.10e-34	1.64e-35	445.67536	C14orf93	chromosome 14 open reading frame 93
ILMN_12232	6.10e-34	1.65e-35	445.58904	GORASP1	golgi reassembly stacking protein 1
ILMN_29992	6.33e-34	1.72e-35	444.89121	NUP214	nucleoporin 214
ILMN_2367	6.59e-34	1.80e-35	444.15125	STRADA	STE20-related kinase adaptor alpha
ILMN_17828	6.70e-34	1.84e-35	443.79943	SNX27	sorting nexin family member 27
ILMN_24401	7.02e-34	1.93e-35	442.945	CCDC97	coiled-coil domain containing 97
ILMN_14700	7.22e-34	2.00e-35	442.40364		
ILMN_11319	7.60e-34	2.11e-35	441.47542	VPS52	VPS52, GARP complex subunit
ILMN_6305	7.78e-34	2.18e-35	441.00519	ZNF106	zinc finger protein 106
ILMN_14777	8.09e-34	2.27e-35	440.30608	MRPS35	mitochondrial ribosomal protein S35
ILMN_2348	8.50e-34	2.40e-35	439.41059	DHX32	DEAH-box helicase 32 (putative)
ILMN_3352	9.02e-34	2.55e-35	438.36499	FAM58A	family with sequence similarity 58 member A
ILMN_19793	9.11e-34	2.59e-35	438.12017	NUDT22	nudix hydrolase 22
ILMN_10752	9.75e-34	2.79e-35	436.94496	SCAMP3	secretory carrier membrane protein 3
ILMN_8219	9.82e-34	2.82e-35	436.74451	TMEM59	transmembrane protein 59
ILMN_20625	1.02e-33	2.94e-35	436.04116	KBTBD11	kelch repeat and BTB domain containing 11
ILMN_7226	1.06e-33	3.06e-35	435.4313	SLC38A6	solute carrier family 38 member 6
ILMN_4468	1.12e-33	3.25e-35	434.41459	KIAA2013	KIAA2013
ILMN_24928	1.13e-33	3.30e-35	434.19651	GLTSCR1L	GLTSCR1 like
ILMN_5329	1.20e-33	3.54e-35	433.04867	CENPBD1	CENPB DNA-binding domain containing 1
ILMN_29300	1.20e-33	3.54e-35	433.02614	SAMM50	SAMM50 sorting and assembly machinery component
ILMN_26654	1.39e-33	4.10e-35	430.668	CHMP6	charged multivesicular body protein 6
ILMN_1431	1.60e-33	4.76e-35	428.25569	RALBP1	ralA binding protein 1
ILMN_2430	1.69e-33	5.04e-35	427.36114	PDE6D	phosphodiesterase 6D
ILMN_29290	1.90e-33	5.71e-35	425.37234	TBCE	tubulin folding cofactor E
ILMN_16248	1.92e-33	5.78e-35	425.1792	TMEM94	transmembrane protein 94
ILMN_7913	1.98e-33	5.98e-35	424.61702	PDHB	pyruvate dehydrogenase (lipoamide) beta
ILMN_22365	2.10e-33	6.40e-35	423.55692	CARD9	caspase recruitment domain family member 9
ILMN_11292	2.10e-33	6.41e-35	423.52126	TTC1	tetratricopeptide repeat domain 1
ILMN_7499	2.14e-33	6.55e-35	423.16947	CDK5RAP1	CDK5 regulatory subunit associated protein 1
ILMN_17915	2.14e-33	6.59e-35	423.08757	SLC35D2	solute carrier family 35 member D2
ILMN_28305	2.34e-33	7.25e-35	421.56854	MIEF1	mitochondrial elongation factor 1
ILMN_17509	2.34e-33	7.28e-35	421.50162	THAP11	THAP domain containing 11
ILMN_11331	2.34e-33	7.30e-35	421.46775	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha
ILMN_18642	2.35e-33	7.34e-35	421.38156	HCFC1R1	host cell factor C1 regulator 1
ILMN_6585	2.38e-33	7.50e-35	421.03619	CCPG1	cell cycle progression 1
ILMN_21571	2.38e-33	7.52e-35	421.00048	TRAK2	trafficking kinesin protein 2
ILMN_7759	2.39e-33	7.57e-35	420.88885	ERLIN2	ER lipid raft associated 2
ILMN_10221	2.54e-33	8.08e-35	419.8553	SLC38A9	solute carrier family 38 member 9
ILMN_1662	2.57e-33	8.21e-35	419.61286	PHB	prohibitin
ILMN_7971	2.62e-33	8.40e-35	419.24783	ASXL2	additional sex combs like 2, transcriptional regulator
ILMN_6979	2.64e-33	8.50e-35	419.06166	CHKA	choline kinase alpha
ILMN_1425	2.74e-33	8.84e-35	418.44269	FOXO4	forkhead box O4
ILMN_21147	2.93e-33	9.50e-35	417.32536	LYRM5	LYR motif containing 5
ILMN_21883	2.98e-33	9.70e-35	416.99301	OSBPL11	oxysterol binding protein like 11
ILMN_8864	2.98e-33	9.74e-35	416.93663	POLA2	DNA polymerase alpha 2, accessory subunit
ILMN_26074	3.11e-33	1.02e-34	416.19336	CUEDC2	CUE domain containing 2
ILMN_20031	3.11e-33	1.02e-34	416.1424	RRNAD1	ribosomal RNA adenine dimethylase domain containing 1
ILMN_12950	3.11e-33	1.03e-34	416.09123	ZNF7	zinc finger protein 7
ILMN_11983	3.38e-33	1.12e-34	414.71441	ABCB7	ATP binding cassette subfamily B member 7
ILMN_1795	3.46e-33	1.15e-34	414.28915	AP2M1	adaptor related protein complex 2 mu 1 subunit
ILMN_17130	3.57e-33	1.19e-34	413.75786	F3	coagulation factor III, tissue factor
ILMN_5909	3.69e-33	1.24e-34	413.19493	ARV1	ARV1 homolog, fatty acid homeostasis modulator
ILMN_21319	3.94e-33	1.33e-34	412.10679	REEP5	receptor accessory protein 5
ILMN_7335	3.95e-33	1.34e-34	412.01438	TMEM109	transmembrane protein 109
ILMN_13772	3.95e-33	1.34e-34	411.93272	ZNF17	zinc finger protein 17
ILMN_16694	4.20e-33	1.43e-34	410.94813	ZC3HC1	zinc finger C3HC-type containing 1
ILMN_3908	5.04e-33	1.73e-34	408.05937	ADD3	adducin 3
ILMN_27913	5.04e-33	1.73e-34	408.03082	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
ILMN_29871	5.04e-33	1.74e-34	407.98112	COMMD3	COMM domain containing 3
ILMN_17729	5.08e-33	1.76e-34	407.80435	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
ILMN_1433	5.15e-33	1.79e-34	407.5226	GALT	galactose-1-phosphate uridylyltransferase
ILMN_23282	5.20e-33	1.81e-34	407.3069	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase
ILMN_3292	5.33e-33	1.87e-34	406.88351	RCAN1	regulator of calcineurin 1
ILMN_9920	5.75e-33	2.02e-34	405.68162	AVPI1	arginine vasopressin induced 1
ILMN_137691	5.83e-33	2.06e-34	405.39622	RGS19	regulator of G-protein signaling 19
ILMN_22880	6.00e-33	2.12e-34	404.90435	AP5M1	adaptor related protein complex 5 mu 1 subunit
ILMN_18065	6.12e-33	2.17e-34	404.55256	BCDIN3D	BCDIN3 domain containing RNA methyltransferase
ILMN_13612	6.41e-33	2.28e-34	403.79977	VIMP	VCP interacting membrane selenoprotein
ILMN_18977	6.79e-33	2.43e-34	402.86851	LZTR1	leucine zipper like transcription regulator 1
ILMN_11223	7.01e-33	2.52e-34	402.32959	PPP1R3D	protein phosphatase 1 regulatory subunit 3D
ILMN_24482	7.34e-33	2.64e-34	401.58844	TICAM2	toll like receptor adaptor molecule 2
ILMN_25579	7.52e-33	2.72e-34	401.15617	ABHD16A	abhydrolase domain containing 16A
ILMN_23759	7.52e-33	2.73e-34	401.11238	IFT20	intraflagellar transport 20
ILMN_8358	7.86e-33	2.86e-34	400.39965	SLC4A1AP	solute carrier family 4 member 1 adaptor protein
ILMN_20951	7.91e-33	2.89e-34	400.24584	SUCLG1	succinate-CoA ligase alpha subunit
ILMN_6465	8.13e-33	2.98e-34	399.78032	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3
ILMN_19206	8.61e-33	3.17e-34	398.8745	CCDC6	coiled-coil domain containing 6
ILMN_24256	8.76e-33	3.23e-34	398.5493	MGME1	mitochondrial genome maintenance exonuclease 1
ILMN_23194	8.82e-33	3.27e-34	398.40694	CSTF2	cleavage stimulation factor subunit 2
ILMN_6711	9.91e-33	3.68e-34	396.60519	KLHDC3	kelch domain containing 3
ILMN_13374	9.98e-33	3.72e-34	396.44022	FAM136A	family with sequence similarity 136 member A
